mass__g_,reclat,reclong
992.5,38.80389,-120.90806
0.61,-72.773889,75.347222
124.0,27.85,-7.8
3000.0,8.91667,8.43333
146.0,25.0,-103.5
13.9,42.53333,-73.83333
3950.0,12.73333,15.05
1300.0,-8.93333,33.8
710.0,35.36667,136.76667
470.0,-3.13333,33.51667
100.7,61.73333,5.93333
6510.0,38.4,140.35
37.0,-32.86667,18.71667
17450.0,44.61667,126.13333
695.0,34.71667,137.78333
357.4,58.47333,8.86667
1.2,60.43333,22.3
260.1,-25.5,-68.4
1760.0,28.4625,1.025
566.0,39.59167,-94.92194
281.0,18.71167,54.65333
220.0,39.5,-98.53333
17800.0,32.63333,-96.86667
479.0,37.96667,-102.33333
5420.0,26.01667,25.73333
1155.0,-36.86667,-60.16667
7400.0,39.695,-102.295
483.0,33.3,130.36667
1600.0,32.99167,-102.38833
50.0,33.25,-112.05
200000.0,-30.1,28.71667
12.5,42.7,-77.88333
4.62,-31.96667,126.25
144.8,44.07694,-88.56278
2700.0,41.18333,-104.06667
2200.0,34.11667,-101.78333
50.0,37.08333,-101.6
3000.0,37.63333,-102.41667
1900.0,59.81667,17.66667
1615.0,33.01667,-102.36667
23.1,-84.34201,161.39314
1440.0,-30.86667,-64.55
625.0,2.0,22.66667
762.0,40.5,-80.08333
1000.0,25.91667,86.36667
1040.0,35.07833,136.93333
25.5,9.33333,80.83333
20000.0,-44.11667,-66.15
7000.0,53.35,15.05
600.0,34.5,133.75
76.5,46.93333,7.21667
15400.0,41.41667,-104.1
30.2,-26.66667,16.25
374.0,28.3125,0.23333
450.0,-33.06667,-61.0
20.0,-25.93333,119.3
33.0,-30.9685,126.252
2100.0,35.94167,-102.16
6800.0,42.63333,-114.83333
12000.0,43.31667,-100.76667
330.0,34.98333,-106.05
18.4,34.91667,-117.83333
5000.0,29.36667,79.43333
540.0,28.29583,0.025
30.0,39.56667,-98.68333
2000.0,33.11667,-101.38333
7.7,34.4,-106.85
66.0,29.9,-112.68333
982.0,34.065,-103.40833
850.0,34.83333,-118.06667
6000.0,41.05,-102.9
229.3,37.48333,-102.67667
19700.0,34.075,-116.01667
0.8,-76.04972,156.45457
107.0,27.0295,16.37217
344.0,11.65,-2.18333
0.86,-72.78472,75.29444
1.0,-72.784444,75.325833
1097.72,18.34725,53.7477
106.0,35.91667,-114.43333
59.0,27.61667,4.19056
104.0,18.56,54.105
3640.0,30.83333,-97.76667
64.0,27.64639,3.98306
255.0,27.64528,3.94389
673.0,27.49167,3.83278
410.0,27.73333,4.19833
103.0,-76.72395,158.74208
39.0,31.49972,9.87722
37.6,-30.12283,126.888
13.63,-30.32,126.606
162.0,35.0501,-116.74443
4236.0,27.14317,15.873
50.0,27.84067,15.88567
82.0,27.61717,15.96633
294.0,27.152,16.316
119.0,26.95,16.45
2600.0,29.50639,11.49861
304.0,29.50639,11.49861
130.0,19.18367,54.75317
1095.0,18.67917,54.58783
113.68,19.0448,54.50738
35.37,19.06285,54.49708
127.2,18.74065,54.1997
702.0,18.14217,54.09683
28.9,18.98865,54.40313
510.0,18.77583,54.45433
653.8,19.25889,54.83833
1050.0,19.1823,54.88755
64.3,18.5985,54.03383
1715.0,19.03272,54.85748
307.0,19.09132,54.79465
747.0,19.16778,54.76806
817.0,19.10167,54.81806
43.0,19.10727,54.60727
48.0,18.96205,54.14542
209.0,18.345,54.175
1728.0,19.22119,54.95961
88.0,29.685,4.03194
11.0,-24.85,-70.53333
29.0,-24.85,-70.53333
13.1,-24.85,-70.53333
6038.0,-24.85,-70.53333
74.0,-30.9,128.08333
13.6,-72.9525,160.50528
11.4,-72.98722,160.40639
1.6,-72.98917,160.40583
27.0,-72.99083,160.40333
1.0,-72.98889,160.40528
2.6,-72.98889,160.40528
3.1,-72.98889,160.40528
14.6,-72.98944,160.40694
8.4,-72.98972,160.40556
1.3,-72.98833,160.40722
0.8,-72.98806,160.40611
5.4,-72.98889,160.40611
4.1,-72.99,160.40722
0.7,-72.98778,160.40861
1.7,-72.98806,160.40833
5.6,-72.98861,160.40722
8.4,-72.98917,160.40667
